"Gilt Name","Close of Business Date","ISIN","Type","Coupon","Maturity","Clean Price","Dirty Price","Yield","Mod Duration","Accrued Interest"
"UKTB  08/25","8/20/2025","GB00BSGLT945","Bills","N/A","8/26/2025","99.944539","N/A","4.050886","0.013691","N/A"
"UKTB  09/25","8/20/2025","GB00BSGLWG21","Bills","N/A","9/1/2025","99.878359","N/A","4.041192","0.030100","N/A"
"UKTB  09/25","8/20/2025","GB00BSGLY440","Bills","N/A","9/8/2025","99.801040","N/A","4.042500","0.049217","N/A"
"UKTB  09/25","8/20/2025","GB00BSGM0F04","Bills","N/A","9/15/2025","99.725890","N/A","4.013000","0.068305","N/A"
"UKTB  09/25","8/20/2025","GB00BSGM3400","Bills","N/A","9/22/2025","99.645451","N/A","4.058464","0.087360","N/A"
"UKTB  09/25","8/20/2025","GB00BSGM4P81","Bills","N/A","9/29/2025","99.566688","N/A","4.073000","0.106386","N/A"
"UKTB  10/25","8/20/2025","GB00BSGM6411","Bills","N/A","10/6/2025","99.489946","N/A","4.067920","0.125385","N/A"
"UKTB  10/25","8/20/2025","GB00BSGM8K17","Bills","N/A","10/13/2025","99.413262","N/A","4.064594","0.144354","N/A"
"UKTB  10/25","8/20/2025","GB00BSGMC097","Bills","N/A","10/20/2025","99.336637","N/A","4.062408","0.163293","N/A"
"UKTB  10/25","8/20/2025","GB00BSGMF991","Bills","N/A","10/27/2025","99.259189","N/A","4.065881","0.182202","N/A"
"UKTB  11/25","8/20/2025","GB00BSGMHL55","Bills","N/A","11/3/2025","99.181802","N/A","4.069000","0.201081","N/A"
"UKTB  11/25","8/20/2025","GB00BSGML684","Bills","N/A","11/10/2025","99.106603","N/A","4.062092","0.219935","N/A"
"UKTB  11/25","8/20/2025","GB00BSGMNZ10","Bills","N/A","11/17/2025","99.031461","N/A","4.056524","0.238761","N/A"
"UKTB  11/25","8/20/2025","GB00BSGMSP66","Bills","N/A","11/24/2025","98.956376","N/A","4.052000","0.257558","N/A"
"UKTB  12/25","8/20/2025","GB00BSGMVK25","Bills","N/A","12/1/2025","98.875421","N/A","4.070000","0.276309","N/A"
"UKTB  12/25","8/20/2025","GB00BSGMXH36","Bills","N/A","12/8/2025","98.797642","N/A","4.075244","0.295040","N/A"
"UKTB  12/25","8/20/2025","GB00BSGMZM29","Bills","N/A","12/15/2025","98.719924","N/A","4.080053","0.313740","N/A"
"UKTB  12/25","8/20/2025","GB00BSGN2138","Bills","N/A","12/22/2025","98.642268","N/A","4.084500","0.332411","N/A"
"UKTB  12/25","8/20/2025","GB00BSGN3G57","Bills","N/A","12/29/2025","98.567091","N/A","4.081653","0.351061","N/A"
"UKTB  01/26","8/20/2025","GB00BSGLCY07","Bills","N/A","1/5/2026","98.491972","N/A","4.079254","0.369682","N/A"
"UKTB  01/26","8/20/2025","GB00BSGN6G62","Bills","N/A","1/12/2026","98.416911","N/A","4.077238","0.388275","N/A"
"UKTB  01/26","8/20/2025","GB00BSGN9455","Bills","N/A","1/19/2026","98.341906","N/A","4.075551","0.406839","N/A"
"UKTB  01/26","8/20/2025","GB00BSGLWL73","Bills","N/A","1/26/2026","98.266959","N/A","4.074151","0.425375","N/A"
"UKTB  02/26","8/20/2025","GB00BSGNDQ53","Bills","N/A","2/2/2026","98.192069","N/A","4.073000","0.443882","N/A"
"UKTB  02/26","8/20/2025","GB00BSGNGR75","Bills","N/A","2/9/2026","98.116813","N/A","4.073000","0.462359","N/A"
"UKTB  02/26","8/20/2025","GB00BSGNJZ64","Bills","N/A","2/16/2026","98.041673","N/A","4.073000","0.480807","N/A"
"UKTB  02/26","8/20/2025","GB00BSGLXK32","Bills","N/A","2/23/2026","97.966647","N/A","4.073000","0.499227","N/A"
"UKTB  03/26","8/20/2025","GB00BSGM1W44","Bills","N/A","3/9/2026","97.816940","N/A","4.073000","0.535983","N/A"
"UKTB  03/26","8/20/2025","GB00BSGM5X31","Bills","N/A","3/23/2026","97.667690","N/A","4.073000","0.572627","N/A"
"UKTB  04/26","8/20/2025","GB00BSGMJ191","Bills","N/A","4/27/2026","97.296550","N/A","4.073000","0.663749","N/A"
"UKTB  07/26","8/20/2025","GB00BSGN9349","Bills","N/A","7/13/2026","96.489888","N/A","4.073000","0.861800","N/A"
"UKTB  08/26","8/20/2025","GB00BSGNLX88","Bills","N/A","8/17/2026","96.127629","N/A","4.073000","0.950742","N/A"
"BTF  08/25","8/20/2025","FR0128838473","Conventional","N/A","8/27/2025","99.973","N/A","1.978000","0.013885","N/A"
"RATB  08/25","8/20/2025","AT0000A3KPF0","Conventional","N/A","8/28/2025","99.967","N/A","1.969000","0.016661","N/A"
"DTC  08/25","8/20/2025","NL0015002F23","Conventional","N/A","8/28/2025","99.968","N/A","1.940000","0.016661","N/A"
"BTF  09/25","8/20/2025","FR0128983923","Conventional","N/A","9/3/2025","99.935","N/A","1.951500","0.033312","N/A"
"LET  09/25","8/20/2025","ES0L02509054","Conventional","N/A","9/5/2025","99.924","N/A","1.950000","0.038859","N/A"
"EUB  09/25","8/20/2025","EU000A4D7LA8","Conventional","N/A","9/5/2025","99.924","N/A","1.951000","0.038859","N/A"
"UKT 2 09/25","8/20/2025","GB00BTHH2R79","Conventional","2.000","9/7/2025","99.905","100.812609","3.769250","0.049224","0.907609"
"BTF  09/25","8/20/2025","FR0128537240","Conventional","N/A","9/10/2025","99.897","N/A","1.950000","0.052724","N/A"
"BTC  09/25","8/20/2025","BE0312802748","Conventional","N/A","9/11/2025","99.897","N/A","1.864750","0.055498","N/A"
"BOT  09/25","8/20/2025","IT0005611659","Conventional","N/A","9/12/2025","99.888","N/A","1.921000","0.058268","N/A"
"RFGB 0.875 09/25","8/20/2025","FI4000167317","Conventional","0.875","9/15/2025","99.926","100.743466","1.958453","0.066580","0.817466"
"CCT 2.936 09/25","8/20/2025","IT0005331878","Conventional","2.936","9/15/2025","100.060","101.364890","2.008569","N/A","1.304890"
"BUB  09/25","8/20/2025","DE000BU0E212","Conventional","N/A","9/17/2025","99.880","N/A","1.663500","0.072136","N/A"
"BTF  09/25","8/20/2025","FR0128983931","Conventional","N/A","9/17/2025","99.860","N/A","1.935500","0.072121","N/A"
"BKO 3.1 09/25","8/20/2025","DE000BU22023","Conventional","3.100","9/18/2025","100.090","102.960685","1.804120","0.074899","2.870685"
"PTC  09/25","8/20/2025","PTPBTXGE0042","Conventional","N/A","9/19/2025","99.849","N/A","1.944500","0.077660","N/A"
"BTF  09/25","8/20/2025","FR0128838481","Conventional","N/A","9/24/2025","99.822","N/A","1.945500","0.091503","N/A"
"RATB  09/25","8/20/2025","AT0000A3GRJ6","Conventional","N/A","9/25/2025","99.819","N/A","1.925000","0.094273","N/A"
"BTPS 3.6 09/25","8/20/2025","IT0005557084","Conventional","3.600","9/29/2025","100.156","101.584260","2.011978","0.105332","1.428260"
"DTC  09/25","8/20/2025","NL0015002GV8","Conventional","N/A","9/29/2025","99.800","N/A","1.896750","0.105345","N/A"
"BOT  09/25","8/20/2025","IT0005643009","Conventional","N/A","9/30/2025","99.789","N/A","1.952000","0.108105","N/A"
"BTF  10/25","8/20/2025","FR0128983949","Conventional","N/A","10/1/2025","99.783","N/A","1.956000","0.110870","N/A"
"EUB  10/25","8/20/2025","EU000A4D85M6","Conventional","N/A","10/3/2025","99.773","N/A","1.954000","0.116401","N/A"
"BTF  10/25","8/20/2025","FR0128690718","Conventional","N/A","10/8/2025","99.747","N/A","1.945500","0.130225","N/A"
"OBL  10/25","8/20/2025","DE0001141828","Conventional","N/A","10/10/2025","99.750","99.750000","1.841338","0.135771","N/A"
